ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,6,20,8,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,7,27,8,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,8,31,8,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,9,32,7,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,10,34,10,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,11,35,10,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,12,39,10,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,13,40,11,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,14,41,11,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,15,42,11,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,16,44,13,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,17,52,13,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,18,53,15,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,19,54,16,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682888423,Y,"SouchaCTT(hsi,1)",L*M,20,55,0,Y1KX
CloseFirst,RivestSchapire,TCP_FreeBSD_Client.dot,1642682888506,Y,"SouchaCTT(hsi,1)",L*M,1,10,0,p3Zv
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,1,15,3,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,2,16,5,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,3,17,5,KxA7
